Ship_ID,Vessel_Name,Service,ETA,ATA,Berth,Side to,Next port of call,Ref,Delay,Size,Dwt,GT,Flag,Built,Month,Builder,Owner Group,Alternative_Fuel,SOx_Scrubber,Eco_Engine,Days_Before_ETA_Info
APL VANDA - M32/M32,apl vanda,FAL3,2021-08-12 23:59:00,2021-08-13 18:35:00,SCT2,Starboard,"Rotterdam, Netherlands",M32/M32,1116.0,"17,292","177,380","166,253",Singapore,2013.0,7.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,14.0
APL VANDA - M35/M35,apl vanda,NEU4I,2020-09-14 19:30:00,2020-09-14 23:59:00,SCT5,Starboard,"Dunkerque, France",M35/M35,269.0,"17,292","177,380","166,253",Singapore,2013.0,7.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,16.0
APL VANDA - N38/N38,apl vanda,NEU4E,2020-09-23 23:59:00,2020-09-25 03:30:00,SCT2,Starboard,"Le Havre, France",N38/N38,1651.0,"17,292","177,380","166,253",Singapore,2013.0,7.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,14.0
ARGOLIKOS - A03/A03,argolikos,LEVANT,2021-01-22 19:30:00,2021-01-23 06:05:00,SCT3,Starboard,"Rotterdam, Netherlands",A03/A03,635.0,"4,360","51,400","40,560",Liberia,2008.0,7.0,HHIC-Phil (Subic SY),Dioryx Maritime Corp,0,0,0,13.0
ARGOLIKOS - A08/A08,argolikos,LEVANT,2021-02-26 19:30:00,2021-02-28 17:45:00,SCT3,Starboard,"Rotterdam, Netherlands",A08/A08,2775.0,"4,360","51,400","40,560",Liberia,2008.0,7.0,HHIC-Phil (Subic SY),Dioryx Maritime Corp,0,0,0,12.0
ATHENS GLORY - R39/S39,athens glory,IPAK,2021-09-29 19:30:00,2021-09-30 23:40:00,SCT2,Starboard,"Rotterdam, Netherlands",R39/S39,1690.0,"6,492","80,270","76,199",Cyprus,2003.0,6.0,I.H.I. (Kure),Cyprus Sea Lines,0,0,0,15.0
AURORA - 01B/01B,aurora,ISX3,2021-01-05 07:00:00,2021-01-10 17:25:00,SCT1,Starboard,"Belfast, United Kingdom",01B/01B,7825.0,868,"11,386","9,981",Antigua & Barbuda,2001.0,7.0,J. J. Sietas,Rudolf Schepers,0,0,0,16.0
AURORA - 02B/02B,aurora,ISX3B,2021-01-17 07:30:00,2021-01-19 09:35:00,SCT1,Starboard,"Liverpool, United Kingdom",02B/02B,3005.0,868,"11,386","9,981",Antigua & Barbuda,2001.0,7.0,J. J. Sietas,Rudolf Schepers,0,0,0,12.0
AURORA - 03B/03B,aurora,ISX3B,2021-01-24 07:30:00,2021-01-29 22:27:00,SCT1,Starboard,"Liverpool, United Kingdom",03B/03B,8097.0,868,"11,386","9,981",Antigua & Barbuda,2001.0,7.0,J. J. Sietas,Rudolf Schepers,0,0,0,14.0
AURORA - 04B/04B,aurora,ISX3,2021-02-04 23:59:00,2021-02-08 07:00:00,SCT1,Starboard,"Belfast, United Kingdom",04B/04B,4741.0,868,"11,386","9,981",Antigua & Barbuda,2001.0,7.0,J. J. Sietas,Rudolf Schepers,0,0,0,11.0
AURORA - 05B/05B,aurora,ISX3B,2021-02-10 07:30:00,2021-02-22 08:35:00,SCT1,Starboard,"Liverpool, United Kingdom",05B/05B,17345.0,868,"11,386","9,981",Antigua & Barbuda,2001.0,7.0,J. J. Sietas,Rudolf Schepers,0,0,0,11.0
AURORA - 06B/06B,aurora,ISX3B,2021-02-17 07:30:00,2021-03-06 06:00:00,SCT1,Starboard,"Liverpool, United Kingdom",06B/06B,24390.0,868,"11,386","9,981",Antigua & Barbuda,2001.0,7.0,J. J. Sietas,Rudolf Schepers,0,0,0,12.0
AURORA - 07B/07B,aurora,ISX3B,2021-02-28 07:30:00,2021-03-17 04:00:00,SCT1,Starboard,"Liverpool, United Kingdom",07B/07B,24270.0,868,"11,386","9,981",Antigua & Barbuda,2001.0,7.0,J. J. Sietas,Rudolf Schepers,0,0,0,13.0
AURORA - 08B/08B,aurora,ISX3B,2021-03-15 11:59:00,2021-03-26 05:05:00,SCT1,Starboard,"Liverpool, United Kingdom",08B/08B,15426.0,868,"11,386","9,981",Antigua & Barbuda,2001.0,7.0,J. J. Sietas,Rudolf Schepers,0,0,0,15.0
