Ship_ID,Vessel Name,Service,Phase,ETA,ATA,Berth,Side to,ETD,Next port of call,Ref,Recording,SN_No.,Delay
HYUNDAI TACOMA - E27/F27,HYUNDAI TACOMA,FE4,ARRIVED,2020-11-24 19:30:00,2020-11-27 18:50:00,SCT2,Starboard,2020-11-25 19:30:00,"Hamburg, Germany",E27/F27,2020-11-10 00:00:00,1546,4280.0
INDEPENDENT HORIZON - Y02/Z02,INDEPENDENT HORIZON,ICL,ARRIVED,2021-01-14 19:00:00,2021-01-15 11:36:00,SCT3,Portside,2021-01-15 07:00:00,"Antwerpen, Belgium",Y02/Z02,2020-12-30 00:00:00,4932,996.0
INDEPENDENT HORIZON - Y06/Z06,INDEPENDENT HORIZON,ICL,ARRIVED,2021-02-11 19:30:00,2021-02-11 17:22:00,SCT3,Portside,2021-02-12 07:30:00,"Antwerpen, Belgium",Y06/Z06,2021-01-30 00:00:00,4239,-128.0
INDEPENDENT HORIZON - Y10/Z10,INDEPENDENT HORIZON,ICL,ARRIVED,2021-03-11 19:30:00,2021-03-12 20:40:00,SCT2,Portside,2021-03-12 07:30:00,"Antwerpen, Belgium",Y10/Z10,2021-02-25 00:00:00,3377,1510.0
INDEPENDENT HORIZON - Y14/Z14,INDEPENDENT HORIZON,ICL,ARRIVED,2021-04-08 19:30:00,2021-04-08 23:35:00,SCT3,Portside,2021-04-09 07:30:00,"Antwerpen, Belgium",Y14/Z14,2021-03-25 00:00:00,3443,245.0
INDEPENDENT HORIZON - Y18/Z18,INDEPENDENT HORIZON,ICL,ARRIVED,2021-05-06 19:30:00,2021-05-06 20:49:00,SCT3,Portside,2021-05-07 07:30:00,"Antwerpen, Belgium",Y18/Z18,2021-04-25 00:00:00,3533,79.0
INDEPENDENT HORIZON - Y22/Z22,INDEPENDENT HORIZON,ICL,ARRIVED,2021-06-03 19:30:00,2021-06-03 18:23:00,SCT3,Portside,2021-06-04 07:30:00,"Antwerpen, Belgium",Y22/Z22,2021-05-20 00:00:00,2733,-67.0
INDEPENDENT HORIZON - Y26/Z26,INDEPENDENT HORIZON,ICL,ARRIVED,2021-07-01 19:30:00,2021-07-01 19:30:00,SCT3,Portside,2021-07-02 07:30:00,"Antwerpen, Belgium",Y26/Z26,2021-06-15 00:00:00,1914,0.0
INDEPENDENT HORIZON - Y28/Z28,INDEPENDENT HORIZON,ICL,ARRIVED,2020-07-16 19:00:00,2020-07-16 16:45:00,SCT1,Portside,2020-07-17 07:00:00,"Antwerpen, Belgium",Y28/Z28,2020-07-10 00:00:00,1197,-135.0
INDEPENDENT HORIZON - Y32/Z32,INDEPENDENT HORIZON,ICL,ARRIVED,2020-08-13 19:30:00,2020-08-13 17:02:00,SCT1,Portside,2020-08-14 07:30:00,"Antwerpen, Belgium",Y32/Z32,2020-07-30 00:00:00,4515,-148.0
